team,country,maps_played,maps_won,maps_won%,atk_played,atk_won,atk_won%,def_played,def_won,def_won%,pistol_played,pistol_won,pistol_won%
Ninjas in Pyjamas,br,39,22,56.41%,396,219,55.3%,424,217,51.18%,78,46,58.97%
T1,us,69,47,68.12%,687,366,53.28%,727,419,57.63%,138,74,53.62%
ZETA DIVISION,jp,29,23,79.31%,270,170,62.96%,300,168,56%,58,33,56.9%
Renegades,ca,71,44,61.97%,762,412,54.07%,697,390,55.95%,142,76,53.52%
Gen.G Esports,ca,47,30,63.83%,487,266,54.62%,487,280,57.49%,94,55,58.51%
VALORANDO,de,27,17,62.96%,230,117,50.87%,281,164,58.36%,54,25,46.3%
TSM FTX,us,70,51,72.86%,689,402,58.35%,709,434,61.21%,138,83,60.14%
Cloud9,us,39,27,69.23%,425,221,52%,375,246,65.6%,78,42,53.85%
Built By Gamers,us,59,39,66.1%,606,328,54.13%,623,361,57.95%,118,64,54.24%
Dignitas,us,39,22,56.41%,421,222,52.73%,356,181,50.84%,78,45,57.69%
100 Thieves,us,31,18,58.06%,326,171,52.45%,306,170,55.56%,62,34,54.84%
Luminosity Gaming,us,58,32,55.17%,573,295,51.48%,637,344,54%,116,66,56.9%
303 Esports,us,37,11,29.73%,389,160,41.13%,367,179,48.77%,74,32,43.24%
Crazy Raccoon,jp,28,18,64.29%,249,150,60.24%,301,172,57.14%,56,33,58.93%
Wave Esports,eu,44,30,68.18%,428,222,51.87%,482,304,63.07%,88,50,56.82%
HEET,gb,30,21,70%,284,156,54.93%,314,184,58.6%,60,35,58.33%
FaZe Clan,us,53,39,73.58%,516,316,61.24%,498,309,62.05%,106,58,54.72%
9z Team,ar,27,16,59.26%,253,137,54.15%,297,157,52.86%,54,28,51.85%
Team BDS,fr,28,17,60.71%,289,167,57.79%,302,156,51.66%,56,32,57.14%
G2 Esports,eu,49,36,73.47%,505,266,52.67%,492,308,62.6%,98,51,52.04%
Complexity,us,95,63,66.32%,936,529,56.52%,"1,049",572,54.53%,190,98,51.58%
FULL SENSE,th,60,47,78.33%,603,357,59.2%,620,375,60.48%,120,78,65%
Sharper Esport,th,34,19,55.88%,331,154,46.53%,356,185,51.97%,68,33,48.53%
Paper Rex,sg,29,26,89.66%,297,206,69.36%,304,170,55.92%,58,38,65.52%
BIG,de,28,15,53.57%,307,146,47.56%,296,158,53.38%,56,32,57.14%
BOOM Esports,id,42,30,71.43%,437,245,56.06%,475,258,54.32%,84,42,50%
BBL Esports,tr,35,19,54.29%,382,198,51.83%,371,173,46.63%,70,34,48.57%
One Breath Gaming,ru,32,18,56.25%,353,194,54.96%,313,152,48.56%,64,31,48.44%
Rise,ca,44,26,59.09%,427,209,48.95%,441,260,58.96%,88,50,56.82%
XSET,us,52,38,73.08%,534,295,55.24%,502,309,61.55%,104,56,53.85%
FunPlus Phoenix,cis,35,27,77.14%,378,230,60.85%,354,203,57.34%,70,44,62.86%
Moon Raccoons,us,73,46,63.01%,803,450,56.04%,678,355,52.36%,144,67,46.53%
Global Esports,in,51,34,66.67%,483,277,57.35%,551,328,59.53%,102,60,58.82%
God Particles,in,75,43,57.33%,820,417,50.85%,722,377,52.22%,150,79,52.67%
Velocity Gaming,in,50,33,66%,498,281,56.43%,506,287,56.72%,100,55,55%
B4 eSports,br,36,23,63.89%,364,177,48.63%,382,221,57.85%,72,41,56.94%
E-Xolos LAZER,mx,33,25,75.76%,305,183,60%,332,206,62.05%,66,42,63.64%
Team Finest,il,74,46,62.16%,759,401,52.83%,815,452,55.46%,148,76,51.35%
Team Liquid BR,br,33,26,78.79%,293,179,61.09%,332,205,61.75%,66,35,53.03%
Cloud9 White,us,38,26,68.42%,351,209,59.54%,405,227,56.05%,76,48,63.16%
DRX VS,kr,30,27,90%,295,202,68.47%,249,169,67.87%,60,39,65%
Exotic,us,36,19,52.78%,383,170,44.39%,384,226,58.85%,72,38,52.78%
CERBERUS Esports,vn,38,22,57.89%,363,183,50.41%,381,211,55.38%,76,41,53.95%
Elysium,us,41,24,58.54%,387,209,54.01%,443,242,54.63%,82,42,51.22%
NYFU,us,75,52,69.33%,762,417,54.72%,772,462,59.84%,150,88,58.67%
Exceeli Esports,bd,29,16,55.17%,311,150,48.23%,269,137,50.93%,58,31,53.45%
Zero Marksmen Black,us,118,78,66.1%,"1,213",663,54.66%,"1,256",747,59.47%,236,129,54.66%
