,team,country
0,Ninjas in Pyjamas,br
1,T1,us
2,ZETA DIVISION,jp
3,Renegades,ca
4,Gen.G Esports,ca
5,VALORANDO,de
6,TSM FTX,us
7,Cloud9,us
8,Built By Gamers,us
9,Dignitas,us
10,100 Thieves,us
11,Luminosity Gaming,us
12,303 Esports,us
13,Crazy Raccoon,jp
14,Wave Esports,eu
15,HEET,gb
16,FaZe Clan,us
17,9z Team,ar
18,Team BDS,fr
19,G2 Esports,eu
20,Complexity,us
21,FULL SENSE,th
22,Sharper Esport,th
23,Paper Rex,sg
24,BIG,de
25,BOOM Esports,id
26,BBL Esports,tr
27,One Breath Gaming,ru
28,Rise,ca
29,XSET,us
30,FunPlus Phoenix,cis
31,Moon Raccoons,us
32,Global Esports,in
33,God Particles,in
34,Velocity Gaming,in
35,B4 eSports,br
36,E-Xolos LAZER,mx
37,Team Finest,il
38,Team Liquid BR,br
39,Cloud9 White,us
40,DRX VS,kr
41,Exotic,us
42,CERBERUS Esports,vn
43,Elysium,us
44,NYFU,us
45,Exceeli Esports,bd
46,Zero Marksmen Black,us
47,iPon Esports,hu
48,NRG Esports,ca
49,Tales of Eastern,cn
50,TYLOO,cn
51,O2 Gaming,cn
52,Built By Gamers Academy,ca
53,TENSTAR,gb
54,Futbolist,tr
55,Reckoning Esports,in
56,Galakticos,tr
57,VIRTUOSO,ca
58,Zero Zone,tr
59,PROJECTX,ca
60,Griffin Esports,hk
61,Oblivion Force,hk
62,Oasis Gaming,ph
63,YaLLa Esports,ae
64,Onic Esports,id
65,NASR Esports,jo
66,Team RA'AD,eg
67,INGAMING Esports,br
68,Team Duelist,ae
69,Pittsburgh Knights,us
70,Archons,ca
71,Able Esports,ca
72,Beşiktaş Esports,tr
73,Mustang Gaming Club,ma
74,Team Majesty,tn
75,Team Aurora,tr
76,Kingsmen,my
77,Border Monsters,co
78,Akave Esports,mx
79,Teal Seam,ca
80,YFP Gaming,ca
81,Ghost Gaming,ca
82,EDward Gaming,cn
83,Illuzion Orange,ca
84,KRÜ Esports,cl
85,Team Vitality,eu
86,KPI Gaming,ru
87,DWG KIA,kr
88,Team Weibo,cn
89,OG Esports,eu
90,Skull Cracker,latam
91,Hyperspace Dark,ca
